country,vat_type,category_id,rate_type,rate_value,comment
AT,REDUCED,FOODSTUFFS,REDUCED_RATE,10.0,"Annex 1 to Sec. 10 of the Austrian VAT Act 1994 contains a list of goods falling under the reduced rate of 10% such as meal, fish, cereals, edible vegetable oils and so on (https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004873&Artikel=&Paragraf=&Anlage=1&Uebergangsrecht=)."
AT,REDUCED,SUPPLY_WATER,REDUCED_RATE,10.0,
AT,REDUCED,FOODSTUFFS,SUPER_REDUCED_RATE,4.9,"From July 1, 2026, the tax rate of 4.9% applies to the foodstuffs listed in Annex 3 to Sec. 10 of the Austrian VAT Act 1994. Please note, among other things, that the reduced tax rate of 10% continues to apply to CN subheadings 0703 1011, 0709 5400, 0709 5500, and 0709 5600."
AT,REDUCED,LOAN_LIBRARIES,REDUCED_RATE,10.0,
AT,REDUCED,NEWSPAPERS,REDUCED_RATE,10.0,
AT,REDUCED,PERIODICALS,REDUCED_RATE,10.0,
AT,REDUCED,STREET_CLEANING,REDUCED_RATE,10.0,
AT,REDUCED,ACCOMMODATION,REDUCED_RATE,10.0,
AT,REDUCED,RESTAURANT,REDUCED_RATE,10.0,
AT,REDUCED,LOAN_LIBRARIES,REDUCED_RATE,10.0,
AT,REDUCED,BROADCASTING_SERVICES,REDUCED_RATE,10.0,
AT,REDUCED,SOCIAL_WELLBEING,REDUCED_RATE,10.0,if not exempted (for information about the type of organisations falling under the exemption please see Sec. 6 of the Austrian VAT Act 1994)
AT,REDUCED,CLOTHING_REPAIR,REDUCED_RATE,10.0,
AT,REDUCED,SHOES_REPAIR,REDUCED_RATE,10.0,
AT,REDUCED,FOODSTUFFS,REDUCED_RATE,13.0,"Annex 2 to Sec. 10 of the Austrian VAT Act 1994 contains a list of goods falling under the reduced rate of 13% such as life-stock, living plants (https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004873&FassungVom=2016-01-01&Artikel=&Paragraf=&Anlage=2&Uebergangsrecht=)."
