TRANSACTION_COMPLETE_DATE	TRANSACTION_TYPE	ORDER_ID	ITEM_NAME	SALE_DEPART_COUNTRY	SALE_ARRIVAL_COUNTRY	TAX_REPORTING_SCHEME	TAXABLE_JURISDICTION	BUYER_COUNTRY	TOTAL_ACTIVITY_VALUE_AMT_VAT_EXCL	TOTAL_ACTIVITY_VALUE_VAT_AMT	TOTAL_ACTIVITY_VALUE_AMT_VAT_INCL	PRICE_ITEMS_VAT_EXCL_AMT	PRICE_ITEMS_VAT_AMT	PRICE_ITEMS_VAT_INCL_AMT	SHIPPING_VALUE_VAT_EXCL_AMT	SHIPPING_VALUE_VAT_AMT	SHIPPING_VALUE_VAT_INCL_AMT	GIFT_WRAP_VALUE_VAT_EXCL_AMT	GIFT_WRAP_VALUE_VAT_AMT	TOTAL_PRICE_OF_ITEMS_AMT_VAT_INCL	TRANSACTION_CURRENCY_CODE	EXCHANGE_RATE	VAT_RATE_PERCENT	TAX_COLLECTION_MODEL	TAX_COLLECTION_RESPONSIBILITY	COST_PRICE_OF_ITEMS	BUYER_VAT_NUMBER	SHIP_FROM_COUNTRY	SHIP_TO_COUNTRY	FULFILLMENT_CHANNEL
2026-01-01 00:03:00	Refund	442-3296473-8431784	"1x B09TMN584B - Kindle Paperwhite (16 GB) - 6.8"" display"	FR	IT	UNION-OSS	IT	IT	-139.34	-30.65	-169.99	-139.34	-30.65	-169.99	-0.0	-0.0	-0.0	0.0	0.0	-169.99	EUR	1.0	22.0	Seller	Seller	45.0		FR	IT	AFN
2026-01-01 00:12:00	Refund	411-5034709-6632672	3x B08LG2X98F - Anker PowerBank 20000mAh	FR	IT	UNION-OSS	IT	IT	-98.34	-21.63	-119.97	-98.34	-21.63	-119.97	-0.0	-0.0	-0.0	0.0	0.0	-119.97	EUR	1.0	22.0	Seller	Seller	37.5		FR	IT	AFN
2026-01-01 00:18:00	FC_Transfer		1x B08C56KX2F - Sony WH-1000XM4 Noise Canceling Headphones	FR	DE	INTRA_COMMUNITY	DE		249.0	0.0	249.0	249.0	0.0	249.0	0.0	0.0	0.0	0.0	0.0	249.0	EUR	1.0	0.0	Seller	Seller	95.0		FR	DE	AFN
2026-01-01 00:49:00	Sale	404-4962589-1053579	8x B09B8V1C6A - Echo Dot (5th Gen) - Smart Speaker	DE	FR	UNION-OSS	FR	FR	399.93	79.99	479.92	399.93	79.99	479.92	0.0	0.0	0.0	0.0	0.0	479.92	EUR	1.0	20.0	Seller	Seller	120.0	FRINV88941X	DE	FR	AFN
2026-01-01 01:02:00	Sale	457-7043247-2867657	1x B09HM94V6G - Logitech MX Master 3S Wireless Mouse	FR	PL	UNION-OSS	PL	PL	400.36	92.08	492.44	382.83	88.05	470.88	17.53	4.03	21.56	0.0	0.0	470.88	PLN	0.23148	23.0	Seller	Seller	35.0		FR	PL	AFN
2026-01-01 01:03:00	Refund	467-3366670-2594365	2x B073JYC4XM - SanDisk 128GB Ultra MicroSDXC	FR	IT	UNION-OSS	IT	IT	-32.77	-7.21	-39.98	-32.77	-7.21	-39.98	-0.0	-0.0	-0.0	0.0	0.0	-39.98	EUR	1.0	22.0	Seller	Seller	10.0		FR	IT	AFN
2026-01-01 01:09:00	FC_Transfer		3x B073JYC4XM - SanDisk 128GB Ultra MicroSDXC	DE	PL	INTRA_COMMUNITY	PL		59.97	0.0	59.97	59.97	0.0	59.97	0.0	0.0	0.0	0.0	0.0	59.97	EUR	1.0	0.0	Seller	Seller	15.0		DE	PL	AFN
2026-01-01 01:27:00	Sale	443-8259185-6366650	8x B09HM94V6G - Logitech MX Master 3S Wireless Mouse	FR	DE	B2B_INTRA_COMMUNITY	DE	DE	886.97	0.0	886.97	872.0	0.0	872.0	14.97	0.0	14.97	0.0	0.0	872.0	EUR	1.0	0.0	Seller	Seller	280.0	DE947748653	FR	DE	AFN
2026-01-01 01:41:00	Sale	453-5067526-3049305	3x B084GBC5Y2 - Nespresso Vertuo Next Coffee Machine	DE	GB	REGULAR	GB	GB	320.15	64.04	384.19	316.62	63.33	379.95	3.53	0.71	4.24	0.0	0.0	379.95	GBP	1.17647	20.0	MarketplaceFacilitator	Amazon	180.0		DE	GB	AFN
2026-01-01 01:58:00	Sale	410-4093479-4831383	16x B08C56KX2F - Sony WH-1000XM4 Noise Canceling Headphones	FR	DE	B2B_INTRA_COMMUNITY	DE	DE	3998.97	0.0	3998.97	3984.0	0.0	3984.0	14.97	0.0	14.97	0.0	0.0	3984.0	EUR	1.0	0.0	Seller	Seller	1520.0	DE594221647	FR	DE	AFN
2026-01-01 02:10:00	Sale	445-9452586-7929216	2x B08C56KX2F - Sony WH-1000XM4 Noise Canceling Headphones	DE	SE	UNION-OSS	SE	SE	4607.39	1151.85	5759.24	4561.68	1140.42	5702.1	45.71	11.43	57.14	0.0	0.0	5702.1	SEK	0.08734	25.0	Seller	Seller	190.0		DE	SE	AFN
2026-01-01 02:23:00	Inbound		"4x B09TMN584B - Kindle Paperwhite (16 GB) - 6.8"" display"	FR	FR				679.96	0.0	679.96	679.96	0.0	679.96	0.0	0.0	0.0	0.0	0.0	679.96	EUR	1.0	0.0			180.0		FR	FR	
2026-01-01 02:55:00	Inbound		1x B073JYC4XM - SanDisk 128GB Ultra MicroSDXC	FR	FR				19.99	0.0	19.99	19.99	0.0	19.99	0.0	0.0	0.0	0.0	0.0	19.99	EUR	1.0	0.0			5.0		FR	FR	
